item_id,surviving,flesch_kincaid_grade,mean_sentence_length,med_term_density,word_count,sentence_count
LMQ-1f1fe5b40e9e,True,5.1056902761104475,14.411764705882353,14.799999999999999,245,17
LMQ-1f2dfb3830e5,True,9.498684210526317,28.5,6.140350877192982,114,4
LMQ-1f6c92c55147,True,5.903348540145988,17.125,7.913669064748201,137,8
LMQ-1fa08ef2b546,True,6.441029411764706,21.25,11.11111111111111,170,8
LMQ-1fc4a6b7f223,True,6.987113821138212,20.5,13.008130081300814,123,6
LMQ-1fdc7cb0a2f8,True,8.614,23.6,12.236286919831224,236,10
LMQ-20181a31feba,True,7.814,23.6,5.084745762711865,118,5
LMQ-208bad4a82f0,True,5.695,16.0,8.695652173913043,160,10
LMQ-20dc0f0f4421,False,6.0120091324200935,16.22222222222222,11.564625850340136,146,9
LMQ-21bf9b78f506,True,5.82295652173913,18.4,3.260869565217391,92,5
LMQ-21cbf135e10e,True,7.323030303030304,19.555555555555557,12.994350282485875,176,9
LMQ-2208544d7f8b,True,7.4969199594731535,20.142857142857142,11.805555555555555,141,7
LMQ-2269efde103e,True,10.321153846153845,26.0,9.615384615384617,104,4
LMQ-23929b0fb888,True,8.386521739130437,23.0,8.60215053763441,92,4
LMQ-24fb5bb858d4,True,6.3868045977011505,17.4,21.59090909090909,87,5
LMQ-25436aa63af3,False,7.7068705035971234,23.166666666666668,11.510791366906476,139,6
LMQ-262237f58742,False,8.925185185185189,27.0,8.641975308641975,81,3
LMQ-26e37b681e17,True,5.375238095238096,15.0,16.355140186915886,210,14
LMQ-27cf17c3c583,True,9.85887755102041,24.5,10.204081632653061,49,2
LMQ-281c1c9b5b44,True,7.932957746478873,23.666666666666668,8.450704225352112,71,3
LMQ-286719c67a0e,False,3.8506498640968623,11.210526315789474,16.071428571428573,213,19
LMQ-28698ebb3269,False,7.430658914728685,21.5,8.461538461538462,129,6
LMQ-28d582d251af,True,7.089034482758624,23.2,8.47457627118644,116,5
LMQ-29d40d20f47c,False,10.17166666666667,30.0,10.0,120,4
LMQ-29dc9f45a390,True,4.648292682926833,13.666666666666666,13.875598086124402,205,15
LMQ-2aae096a76b2,False,11.63304347826087,30.666666666666668,8.695652173913043,92,3
LMQ-2ab904b74627,True,8.137706766917294,22.166666666666668,11.194029850746269,133,6
LMQ-2abc8c723b6d,True,5.642065934065936,18.2,9.782608695652174,182,10
LMQ-2b24b166f6f7,True,7.156240310077518,21.5,6.2015503875969,129,6
LMQ-2c92a9b88bd0,True,6.899810606060608,20.625,5.9880239520958085,165,8
LMQ-2cc7c2be3b0d,True,12.86480392156863,25.5,23.52941176470588,51,2
LMQ-2d11d713314e,True,9.147586206896552,29.0,12.068965517241379,58,2
LMQ-2e2fd16b6655,True,4.501904761904765,14.777777777777779,15.808823529411764,266,18
LMQ-2e5504d2bf5b,True,8.014335839598996,24.428571428571427,12.790697674418606,171,7
LMQ-2e8e1d7d6d94,False,7.88869721473495,22.714285714285715,10.062893081761008,159,7
LMQ-2fc381bd402e,False,6.626507389162565,20.3,9.70873786407767,203,10
LMQ-2fda99d88cdd,False,5.99169578622816,19.857142857142858,4.316546762589928,139,7
LMQ-302a94b6ec16,True,6.1660292463442055,18.142857142857142,13.28125,127,7
LMQ-305f43df522a,True,8.494,20.0,8.0,100,5
LMQ-3101cf2a212e,True,7.049208860759496,19.75,8.75,79,4
LMQ-31fe53811717,True,6.748550724637685,20.444444444444443,7.526881720430108,184,9
LMQ-32b64cc7259b,True,7.574202898550727,23.0,10.144927536231885,69,3
LMQ-33d93a28c503,True,6.096646216768917,18.11111111111111,10.975609756097562,163,9
LMQ-3444bcd6f36f,True,7.139298245614036,19.0,12.280701754385964,57,3
LMQ-35708a4a0af7,False,7.162168186423507,20.142857142857142,6.382978723404255,141,7
LMQ-3576953f4a14,True,8.932876712328767,24.333333333333332,9.58904109589041,73,3
LMQ-359f9d0159ef,True,8.839707207207208,27.75,6.306306306306306,111,4
